,score,rank,industry,momentum_60,momentum_120_5,reversal_5,low_vol_60,amount_ratio_5_20,ma_pos_20,value_pe,value_pb,quality_roe,name
601186,0.8716362001798021,1,建筑,-0.0238,0.019,0.0199,-0.1129,1.1065,-0.0133,0.2041,2.6316,4.34,中国铁建
601800,0.8259377185096394,2,建筑,-0.0585,-0.0388,0.0159,-0.1243,0.9473,-0.0173,0.1541,2.1739,4.14,中国交建
000001,0.8232019778243931,3,银行,0.0289,-0.0444,0.0116,-0.1222,0.7512,-0.0079,0.1934,2.0,7.4,深发展A
601668,0.822346668664469,4,建筑,-0.0618,-0.0556,0.0142,-0.1597,0.9381,-0.0139,0.2096,2.2727,7.77,中国建筑
600023,0.8052142643092597,5,电力,0.0108,0.0275,0.0371,-0.1824,1.3876,-0.0345,0.1098,1.1364,8.3,浙能电力
600018,0.8048746378983119,6,交运,-0.0057,-0.0093,0.0224,-0.1192,1.0395,-0.0233,0.1147,1.1111,8.05,上港集团
600585,0.8008578064129457,7,建材,-0.0602,0.0554,0.0216,-0.168,1.0115,-0.017,0.076,1.6393,3.31,海螺水泥
601117,0.8005231745080411,8,其他,0.0124,0.0318,0.0201,-0.1847,0.9339,-0.008,0.1323,1.4286,6.46,中国化学
002142,0.7954862151633204,9,银行,0.0777,0.0676,0.0102,-0.1529,0.9758,-0.0006,0.155,1.1765,8.88,宁波银行
600027,0.7878096593746878,10,电力,-0.0082,-0.0175,0.0474,-0.1856,1.469,-0.0467,0.1211,0.8403,9.24,华电国际
601838,0.7813068125062431,11,银行,-0.0692,-0.1642,0.0206,-0.195,0.9986,-0.0254,0.1949,1.2346,9.32,成都银行
601919,0.7755980920986916,12,交运,0.1049,0.0463,0.0107,-0.1699,0.8894,0.003,0.1608,0.9804,11.66,中国远洋
601006,0.7693636999300769,13,交运,-0.1146,-0.1707,0.0252,-0.0868,0.9913,-0.0427,0.0638,1.5873,3.74,大秦铁路
601898,0.7648723903705923,14,煤炭,0.1129,0.24,0.0348,-0.3459,0.8994,-0.0456,0.1029,0.9434,7.93,中煤能源
000002,0.7512523723903706,15,地产,-0.3251,-0.2504,0.0231,-0.3295,0.4991,-0.0467,0.1391,3.2258,-15.94,万科A
600011,0.7504919588452702,16,电力,0.0601,0.1662,0.0686,-0.2812,1.6546,-0.0485,0.1255,0.5747,10.09,华能国际
000651,0.7354135451003896,17,家电,0.0136,-0.0667,0.0143,-0.1149,1.0695,-0.0143,0.1395,0.6369,14.86,格力电器
600690,0.7283850264708821,18,家电,0.0426,0.1461,0.0289,-0.1763,0.9868,-0.0355,0.0842,0.4808,14.53,青岛海尔
601318,0.7275796623713915,19,保险,0.2717,0.2694,0.0094,-0.2404,0.9894,0.0287,0.1126,0.7937,13.47,中国平安
601211,0.7249088502647089,20,非银金融,0.0996,0.1092,0.0151,-0.2087,0.731,0.004,0.0707,0.8696,6.81,国泰君安
601728,0.7186157726500849,21,通信,-0.0548,-0.1432,0.0297,-0.1408,1.0102,-0.0501,0.0604,0.8,6.72,中国电信
601336,0.7131417940265707,22,保险,0.1576,0.2781,0.022,-0.305,0.8652,0.0095,0.1757,0.4587,32.69,新华保险
601319,0.703000449505544,23,保险,0.1638,0.0693,0.0156,-0.3242,0.7618,0.008,0.1337,0.7874,14.91,中国人保
600999,0.6973866247128159,24,非银金融,-0.0282,-0.0158,0.0031,-0.1523,1.0027,-0.0015,0.0834,0.813,6.59,招商证券
600050,0.6927230046948356,25,通信,-0.0524,-0.0212,0.0039,-0.1081,0.7801,-0.0147,0.0595,1.0753,5.1,中国联通
000166,0.6891032364399161,26,非银金融,-0.0038,0.0766,-0.0,-0.1613,0.9025,0.0091,0.0709,0.8403,7.21,申万宏源
000338,0.6827427329937069,27,汽车,0.2664,0.1989,0.0204,-0.3474,0.8197,-0.0176,0.0786,0.6211,9.44,潍柴动力
001979,0.6819848167016282,28,地产,-0.1512,0.0381,0.0138,-0.2101,0.9296,-0.0227,0.051,1.2821,2.38,招商蛇口
601225,0.6711916891419438,29,煤炭,0.0691,0.1377,0.0197,-0.259,0.8389,-0.0251,0.0915,0.4525,13.46,陕西煤业
600941,0.6491359504545,30,其他,-0.0354,-0.0792,0.0047,-0.0979,1.0223,-0.0162,0.0658,0.6289,8.44,中国移动
