ticker,name,industry,shares,cost_price,cost_value,score,action,f_momentum_60,f_momentum_120_5,f_reversal_5,f_low_vol_60,f_amount_ratio_5_20,f_ma_pos_20,f_value_pe,f_value_pb,f_quality_roe
600015,华夏银行,银行,5000,6.8969,34493.42,0.9069,KEEP,0.08846761453396512,0.037572254335260125,0.04038997214484685,-0.20223478542197998,1.366271919778707,-0.0471580694233163,0.24813895781637715,2.857142857142857,4.88
601169,北京银行,银行,6500,5.3053,34493.42,0.8923,KEEP,0.011450381679389166,-0.05190311418685123,0.03284671532846728,-0.15926587993757924,1.7234332445184373,-0.022050004612971748,0.22675736961451246,2.380952380952381,5.46
601229,上海银行,银行,3700,9.3894,34749.74,0.8852,KEEP,0.011866235167206085,0.020682523267838704,0.049645390070921835,-0.19324333368972046,1.3809882896418326,-0.03423423423423419,0.16750418760469013,1.6666666666666667,6.95
601186,中国铁建,建筑,4300,7.6777,33022.56,0.8377,KEEP,-0.07912687585266032,-0.15203955500618038,0.016034985422740622,-0.15964202119741194,1.0911404551763653,-0.021100717859473723,0.20491803278688525,2.6315789473684212,4.34
601800,中国交建,建筑,4100,8.1281,33333.96,0.8015,KEEP,-0.15745192307692313,-0.17901938426453812,0.026388888888888906,-0.1876483848848327,1.2454732609436812,-0.0520622041920215,0.15479876160990713,2.1739130434782608,4.14
601390,中国中铁,建筑,6800,5.0851,34587.53,0.7922,KEEP,-0.0830324909747292,-0.06927175843694489,0.03053435114503822,-0.3700721027034633,1.0307613299078295,-0.03228878940851514,0.1858736059479554,2.380952380952381,4.72
600023,浙能电力,电力,6700,4.9549,33206.8,0.78,KEEP,0.14919354838709675,0.11969111969111967,0.01724137931034475,-0.21423030133011514,1.315315766715513,0.016858442601016863,0.10976948408342481,1.1363636363636365,8.3
601919,中国远洋,交运,2100,15.1952,31918.17,0.7475,KEEP,-0.01739735560194855,-0.004135079255685792,0.02283737024221455,-0.3161571447060556,1.2510561642041493,-0.043749153460652904,0.16181229773462785,0.9900990099009901,11.66
601018,宁波港,交运,9400,3.7037,34823.83,0.7437,KEEP,-0.015957446808510523,0.005249343832020914,0.03394255874673624,-0.2186427054251344,1.3565476760070652,-0.04565385607428425,0.06605019815059444,1.1235955056179776,4.87
600585,海螺水泥,建材,1500,21.8819,32831.32,0.7235,KEEP,-0.10806247361756027,-0.07201028718388336,0.02401847575057736,-0.30156952363508616,1.2089826468122757,-0.04811244256239307,0.07598784194528875,1.639344262295082,3.31
601006,大秦铁路,交运,6600,5.2753,34825.83,0.719,KEEP,0.05611222444889763,-0.09262435677530023,0.003780718336483968,-0.15591393052000516,1.327620229581014,0.001996387489304974,0.06406149903907751,1.6129032258064517,3.74
601211,国泰君安,非银金融,1900,18.9489,36012.33,0.7079,KEEP,-0.18544719555330968,-0.09973190348525462,0.039904705181655675,-0.22297918507969805,1.2794968477679551,-0.033891702376314566,0.07057163020465773,0.8695652173913044,6.81
601319,中国人保,保险,3700,8.9589,33156.73,0.6735,KEEP,-0.21358159912376795,-0.16340621403912547,0.012379642365887178,-0.24832138161128778,1.0566167262419845,-0.021998229244704907,0.1347708894878706,0.7936507936507936,14.91
000625,长安汽车,汽车,3600,9.5395,34351.24,0.6643,KEEP,-0.16913687881429829,-0.2099447513812155,0.047952047952047994,-0.15239661680301667,1.0571546802121932,-0.044324107501002824,0.057803468208092484,0.6578947368421053,3.96
600019,宝钢股份,钢铁,5100,7.3073,37276.92,0.6543,KEEP,-0.11871508379888274,-0.10644257703081228,0.010971786833855801,-0.24931135643698696,1.1080604967751166,-0.010584084672677366,0.05817335660267597,1.2658227848101264,3.9
002736,国信证券,非银金融,3200,10.7307,34347.23,0.6451,KEEP,-0.1326860841423947,-0.20257695060844672,0.037701974865350096,-0.30125761763324155,1.2427259000936157,-0.06182995667964819,0.09285051067780874,0.7246376811594204,7.19
600027,华电国际,电力,6700,4.965,33273.88,0.6367,KEEP,0.010121457489878471,-0.05415860735009681,-0.020449897750511425,-0.2501283180351345,1.2213312511860104,0.05485678046718107,0.12121212121212122,0.8474576271186441,9.24
600999,招商证券,非银金融,2200,15.7357,34627.58,0.6358,KEEP,-0.07147076196101587,-0.09431751611013472,-0.01681759379042691,-0.17920403358795475,1.5088558547481803,0.0039596372461363485,0.08368200836820085,0.8130081300813008,6.59
003816,中国广核,电力,7600,4.5846,34851.87,0.6344,KEEP,0.19270833333333348,0.1679197994987469,0.01716738197424894,-0.22445791343887952,1.0128964934883344,0.00970017636684314,0.04952947003467063,0.6493506493506493,6.95
601601,中国太保,保险,900,37.2672,33549.23,0.6272,KEEP,-0.1576923076923078,-0.006985491671144484,-0.007305194805194759,-0.32327166906851085,1.2257703316882174,-0.010695542416794086,0.12987012987012986,0.7042253521126761,16.08
000725,京东方A,电子,8500,4.0841,34723.71,0.6261,KEEP,-0.10526315789473673,0.0345679012345681,0.026252983293556187,-0.289556225403012,0.9269637350756212,0.00024515812699177385,0.041999160016799666,0.8474576271186441,3.44
688187,时代电气,机械,700,48.4684,33936.72,0.626,KEEP,-0.2036184210526315,-0.04979102307832095,0.0740103270223752,-0.3204277163078046,1.4173528431201032,-0.04758158106965119,0.0563063063063063,0.591715976331361,6.62
000002,万科A,地产,7100,4.6547,33056.61,0.6227,KEEP,-0.1768421052631579,-0.40094339622641506,-0.026246719160105014,-0.3495573936285294,1.123136968528881,0.007602113129751341,0.12836970474967907,3.125,-15.94
601318,中国平安,保险,500,63.1531,31584.75,0.6159,KEEP,-0.0909508497932936,0.0,-0.025742916378714398,-0.26653484455820065,1.323310202313318,0.019831488177547197,0.11325028312570781,0.7936507936507936,13.47
600050,中国联通,通信,6500,5.1151,33256.86,0.5987,KEEP,-0.10848126232741628,-0.1712707182320442,-0.004444444444444251,-0.23634877583822447,0.9021746904318911,-0.004295627271726123,0.05924170616113744,1.075268817204301,5.1
600028,中国石化,石油石化,6400,5.3954,34539.47,0.5897,KEEP,-0.15384615384615397,-0.016245487364620947,0.011009174311926717,-0.413862874273964,1.566733501005422,-0.04254374278355087,0.048239266763145196,1.1111111111111112,3.61
601728,中国电信,通信,6200,5.6757,35198.3,0.5805,KEEP,0.046875,-0.1324599708879185,-0.011744966442952975,-0.20002288010479918,1.0329445373954853,0.028396009209516515,0.059808612440191394,0.7936507936507936,6.72
000651,格力电器,家电,800,39.2592,31415.54,0.58,KEEP,0.029298380878951535,-0.06430379746835446,-0.08360389610389607,-0.18868310846145714,2.1938010785080246,0.06439524809312468,0.14064697609001406,0.641025641025641,14.86
600089,特变电工,电力设备,1200,26.8468,32224.56,0.5794,KEEP,-0.05229681978798584,0.45684210526315794,0.03106936416184969,-0.40753843251269734,0.8459805693563934,-0.007860908166096314,0.04739336492890995,0.6134969325153374,7.38
601877,正泰电器,机械,1000,32.6826,32691.15,0.5786,KEEP,0.05478569126651611,0.11714187564410872,-0.0064575645756455025,-0.4379180969244839,0.857892591042048,0.003233766034728479,0.07598784194528875,0.7299270072992701,9.56
