factor,W1_2021H1_top,W2_growth_crash,W3_shock_down,W4_924_rebound,W5_slow_bull,W6_2026_rally
amount_ratio_5_20,0.05184718427146515,0.0067332138530059645,0.00018259457915608868,-0.004044446268666367,-0.05816255308793137,-0.021415537833983398
low_vol_60,-0.19438894269438273,0.05056188040607562,0.09203800507327739,0.07521166914948908,-0.06350657504877943,0.06998733737311329
ma_pos_20,0.07752035113006624,-0.06723508018433019,-0.05004846348571186,-0.015871019502782677,0.08894999364996617,-0.027394350949192913
momentum_120_5,,-0.08772249697789414,0.037737848806952946,-0.07387232017742011,-0.06517108395896168,
momentum_60,-0.04962530213801408,-0.11724822102516243,-0.00969780722659124,-0.028760638918877254,-0.05442281149103462,-0.08853063766339044
quality_roe,-0.03959128678988063,-0.045331884689412925,-0.02752230031167899,0.023622877501925686,0.054296550403470825,0.04550739512468604
reversal_5,-0.12647466616250005,0.052082091457572637,0.0715209789579557,0.006004503631213384,-0.10208397625733073,0.11750643426951822
value_pb,,0.09965741501458321,0.1041075684968393,0.042722063150360846,0.009897873918307099,0.03458481988741735
value_pe,,0.07523592143127102,0.07234726932747242,0.055352992051934814,0.0568572389814013,0.07808443414918137
