date,nav,value,cash,invested,benchmark_nav
2025-12-31,1.0,1000000.0,27764.26000000001,972235.74,1.0
2026-01-30,1.024342,1024342.35,11705.35,1012637.0,1.016501
2026-02-27,1.04003,1040029.58,18581.58,1021448.0,1.017432
2026-03-31,0.985248,985248.35,12807.35,972441.0,0.961146
2026-04-30,0.991371,991370.97,7800.97,983570.0,1.038309
