window,month,prior_hs300
W3_shock_down,2023-02,0.07367018679968207
W3_shock_down,2024-03,0.09352972862691256
W4_924_rebound,2024-10,0.20967552549623192
W5_slow_bull,2025-09,0.10333912308668847
