,score,rank,industry,momentum_60,momentum_120_5,reversal_5,low_vol_60,amount_ratio_5_20,ma_pos_20,value_pe,value_pb,quality_roe,name
601186,0.872516481869943,1,建筑,-0.0238,0.019,0.0199,-0.1129,1.1065,-0.0133,0.2049,2.6316,4.34,中国铁建
601800,0.826641943861752,2,建筑,-0.0585,-0.0388,0.0159,-0.1243,0.9473,-0.0173,0.1548,2.1739,4.14,中国交建
000001,0.8232019778243931,3,银行,0.0289,-0.0444,0.0116,-0.1222,0.7512,-0.0079,0.1946,2.0408,7.4,深发展A
601668,0.8225227250024972,4,建筑,-0.0618,-0.0556,0.0142,-0.1597,0.9381,-0.0139,0.2105,2.2727,7.77,中国建筑
600018,0.8039881130756169,5,交运,-0.0057,-0.0093,0.0224,-0.1192,1.0395,-0.0233,0.1143,1.1111,8.05,上港集团
600023,0.8037995704724802,6,电力,0.0108,0.0275,0.0371,-0.1824,1.3876,-0.0345,0.1098,1.1364,8.3,浙能电力
601117,0.8023748876236139,7,其他,0.0123,0.0313,0.0198,-0.182,0.9339,-0.0079,0.1323,1.4286,6.46,中国化学
600585,0.8005906003396264,8,建材,-0.0602,0.0554,0.0216,-0.168,1.0115,-0.017,0.076,1.6393,3.31,海螺水泥
002142,0.7954862151633204,9,银行,0.0777,0.0676,0.0102,-0.1529,0.9758,-0.0006,0.1555,1.1765,8.88,宁波银行
600027,0.7899223354310259,10,电力,-0.0082,-0.0175,0.0474,-0.1856,1.469,-0.0467,0.1212,0.8475,9.24,华电国际
601838,0.7813068125062431,11,银行,-0.0692,-0.1642,0.0206,-0.195,0.9986,-0.0254,0.1949,1.2346,9.32,成都银行
601919,0.7755980920986913,12,交运,0.1049,0.0463,0.0107,-0.1699,0.8894,0.003,0.1618,0.9901,11.66,中国远洋
601006,0.7698918689441615,13,交运,-0.1146,-0.1707,0.0252,-0.0868,0.9913,-0.0427,0.0641,1.6129,3.74,大秦铁路
601898,0.7638222954749775,14,煤炭,0.1117,0.2349,0.0342,-0.3403,0.8994,-0.0448,0.1043,0.9524,7.93,中煤能源
600011,0.7489074518030167,15,电力,0.0601,0.1662,0.0686,-0.2812,1.6546,-0.0485,0.1244,0.5714,10.09,华能国际
000002,0.7441601738088104,16,地产,-0.3251,-0.2504,0.0231,-0.3295,0.4991,-0.0467,0.1284,3.125,-15.94,万科A
000651,0.7356020877035262,17,家电,0.0129,-0.0636,0.0136,-0.109,1.0695,-0.0136,0.1406,0.641,14.86,格力电器
600690,0.7347292977724504,18,家电,0.0411,0.1402,0.0279,-0.1704,0.9868,-0.0344,0.0857,0.4878,14.53,青岛海尔
601318,0.7275734192388372,19,保险,0.2717,0.2694,0.0094,-0.2404,0.9894,0.0287,0.1133,0.7937,13.47,中国平安
601211,0.7242108680451503,20,非银金融,0.0996,0.1092,0.0151,-0.2087,0.731,0.004,0.0706,0.8696,6.81,国泰君安
601728,0.717559434621916,21,通信,-0.0548,-0.1432,0.0297,-0.1408,1.0102,-0.0501,0.0598,0.7937,6.72,中国电信
601336,0.7131417940265707,22,保险,0.1523,0.2679,0.0213,-0.2955,0.8652,0.0092,0.1767,0.463,32.69,新华保险
601319,0.7059996503845769,23,保险,0.1638,0.0693,0.0156,-0.3242,0.7618,0.008,0.1348,0.7937,14.91,中国人保
600999,0.6991596743582059,24,非银金融,-0.0282,-0.0158,0.0031,-0.1523,1.0027,-0.0015,0.0837,0.813,6.59,招商证券
600050,0.6936095295175306,25,通信,-0.0524,-0.0212,0.0039,-0.1081,0.7801,-0.0147,0.0592,1.0753,5.1,中国联通
000166,0.6893641993806812,26,非银金融,-0.0057,0.0733,-0.0,-0.1582,0.9025,0.0076,0.0711,0.8403,7.21,申万宏源
000338,0.6829187893317351,27,汽车,0.2592,0.1931,0.0199,-0.3396,0.8197,-0.0172,0.0792,0.6289,9.44,潍柴动力
001979,0.6825192288482669,28,地产,-0.1512,0.0381,0.0138,-0.2101,0.9296,-0.0227,0.0505,1.2658,2.38,招商蛇口
601225,0.6722480271701129,29,煤炭,0.0691,0.1377,0.0197,-0.259,0.8389,-0.0251,0.0925,0.4566,13.46,陕西煤业
000858,0.6479535011487363,30,食品饮料,-0.1114,-0.0327,0.0313,-0.1431,0.9237,-0.035,0.0692,0.346,15.1,五粮液
