window,total,ann,vol,sharpe,dd,bench_total,bench_ann,excess,IR,n_days
"W1: 2021-04~2022-03 (大盘震荡, 价值起涨)",12.52492867155346,12.561413868568483,21.41378663851382,0.46985682814605534,-18.988504879074743,-17.3785708122268,-17.421890556576326,29.98330442514481,1.7338623910553765,243
W2: 2022-04~2023-03 (深度调整 + 反弹),8.72142769425106,8.746406239417205,20.695788952807895,0.3018201554751419,-15.890668785952776,-5.26715804233614,-5.281239252825554,14.027645492242758,1.1082743884466597,243
W3: 2023-04~2024-03 (慢熊红利),15.05038641225398,15.2292517655926,16.56665423124154,0.768365874479813,-14.287161173228602,-13.520958458580811,-13.660044780711345,28.889296546303946,2.893456517048789,241
W4: 2024-04~2025-04 (924 反转 + 跨年),1.9723071684732307,1.8258203918086746,20.93376066484922,-0.032205374800303777,-15.911569892909693,4.864882453700248,4.498875509464262,-2.6730551176555872,-0.24697130908042408,262
W5: 2025-05~2025-12 (放量后),25.56070374738708,41.56930586109422,13.153120726023296,2.9703449603253507,-5.604350824445293,21.567255921032256,34.75089193369389,6.818413927400324,0.6812282927017088,165
