window,v4_ir,v5_ir,delta_ir,v4_dd,v5_dd,delta_dd,v4_ann,v5_ann,v4_excess,v5_excess
W1: 2021-04~2022-03 大盘震荡,1.7338623910553765,1.7419928819397728,0.008130490884396213,-18.988504879074743,-16.309311240336942,2.6791936387378,12.561413868568483,10.104143247069963,29.98330442514481,27.52603380364629
W2: 2022-04~2023-03 深调反弹,1.1082743884466597,1.4428662761587585,0.3345918877120988,-15.890668785952776,-13.42189708359559,2.468771702357186,8.746406239417205,14.103122739151708,14.027645492242758,19.38436199197726
W3: 2023-04~2024-03 慢熊红利,2.893456517048789,3.025783143739922,0.1323266266911327,-14.287161173228602,-13.19065230872184,1.096508864506763,15.2292517655926,18.6877109160106,28.889296546303946,32.34775569672195
W4: 2024-04~2025-04 924反转,-0.24697130908042408,0.1695493805588867,0.41652068963931077,-15.911569892909693,-14.356100300832875,1.5554695920768182,1.8258203918086746,6.407028709334672,-2.6730551176555872,1.9081531998704104
W5: 2025-05~2025-12 放量后,0.6812282927017088,-0.0909726875062299,-0.7722009802079387,-5.604350824445293,-5.966009597539967,-0.36165877309467476,41.56930586109422,33.73932602228243,6.818413927400324,-1.0115659114114717
