window,v4_ir,v5_ir,delta_ir,v4_excess,v5_excess,v4_dd,v5_dd,v4_ann,v5_ann
W1: 2021-04~2022-03 大盘震荡,1.7338623910553765,1.7274208868148708,-0.006441504240505713,29.98330442514481,35.54385511524114,-18.988504879074743,-21.60026704261653,12.561413868568483,18.121964558664814
W2: 2022-04~2023-03 深调反弹,1.1082743884466597,1.095400462576452,-0.012873925870207747,14.027645492242758,15.459398637884835,-15.890668785952776,-16.66700179731585,8.746406239417205,10.178159385059281
W3: 2023-04~2024-03 慢熊红利,2.893456517048789,2.454575506475036,-0.4388810105737533,28.889296546303946,33.487070444689614,-14.287161173228602,-15.606588151519452,15.2292517655926,19.82702566397827
W4: 2024-04~2025-04 924反转,-0.24697130908042408,-0.28257008734988687,-0.03559877826946278,-2.6730551176555872,-3.2693583690843964,-15.911569892909693,-17.55130889294737,1.8258203918086746,1.2295171403798655
W5: 2025-05~2025-12 放量后,0.6812282927017088,-0.877130676475199,-1.5583589691769077,6.818413927400324,-8.810583181046638,-5.604350824445293,-6.306851293550054,41.56930586109422,25.940308752647255
