window,V5,V8,EQ,RP,HS300,CSI500,avg_w_v5,avg_w_v8,RP_vs_V5,RP_vs_EQ,RP_beats_V5,RP_beats_EQ
W3_shock_down,0.23399597272549033,-0.10619033365801733,0.05390076498066154,0.0561276278510523,-0.14570002975900354,-0.22109001158515085,0.5130964180775959,0.4869035819224041,-0.17786834487443803,0.0022268628703907556,False,True
W4_924_rebound,-0.07873409519877439,0.05074634267815159,-0.013410306021835794,-0.006796391991489736,0.19059506997066777,0.28830538743050194,0.5048402770002407,0.4951597229997592,0.07193770320728465,0.0066139140303460575,True,True
W5_slow_bull,0.19826818276644476,0.22826500696151641,0.21524771025904066,0.2298273911681361,0.19092498258603308,0.26688614168017155,0.4947794385687471,0.5052205614312528,0.03155920840169135,0.01457968090909545,True,True
W6_2026_rally,-0.0005345175406936686,0.06613201792774737,0.03243434356930708,0.0335112714421586,0.01898385373014988,0.09126803638644931,0.5014017320437363,0.4985982679562637,0.034045788982852265,0.0010769278728515186,True,True
