date,nav
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,0.9985
2018-02-02,1.0173339046462495
2018-02-05,1.0302513560019924
2018-02-06,0.977352287518804
2018-02-07,0.9627227157731456
2018-02-08,0.9456935446863645
2018-02-09,0.875073248682993
2018-02-12,0.8986964066999805
2018-02-13,0.9087195341365261
2018-02-14,0.9127296800469005
2018-02-22,0.9381939280597851
2018-02-23,0.9455228495659841
2018-02-26,0.9693510885739598
2018-02-27,0.9564625472219596
2018-02-28,0.9497771210903492
2018-03-01,0.9512029550697869
2018-03-02,0.9214462258297624
2018-03-05,0.8907607642707973
2018-03-06,1.0034250680160177
2018-03-07,0.9638882901971846
2018-03-08,0.9834704095988928
2018-03-09,0.9663685170006342
2018-03-12,0.9863403965228532
2018-03-13,0.9660560677710269
2018-03-14,0.9860389740524013
2018-03-15,0.9708743775201034
2018-03-16,0.9132755928172308
2018-03-19,0.56350249534016
2018-03-20,0.5566904737988626
2018-03-21,0.5602281950435426
2018-03-22,0.5498207380653398
2018-03-23,0.6158858269834812
2018-03-26,0.6222684339026943
2018-03-27,0.6218494821946831
2018-03-28,0.6238872942045897
2018-03-29,0.6206388090173403
2018-03-30,0.6032961785083383
2018-04-02,0.6114858128840938
2018-04-03,0.6429274458878017
2018-04-04,0.6435259415957683
2018-04-09,0.6498143444275257
2018-04-10,0.6433239483268429
2018-04-11,0.6601676987923447
2018-04-12,0.6751115044690826
2018-04-13,0.657729090381643
2018-04-16,0.7388043713559023
2018-04-17,0.7323486808927009
2018-04-18,0.7287897219598798
2018-04-19,0.7059952375301426
2018-04-20,0.7375989113062498
2018-04-23,0.6431666098681327
2018-04-24,0.6775388246243849
2018-04-25,0.6635267055281909
2018-04-26,0.6393662248923769
2018-04-27,0.779106716787631
2018-05-02,0.7616451550363214
2018-05-03,0.7539175245769585
2018-05-04,0.7613565649571274
2018-05-07,0.677792708938301
2018-05-08,0.6889556685364123
2018-05-09,0.6848244699412237
2018-05-10,0.7450035265032191
2018-05-11,0.7627818361772039
2018-05-14,0.7657583196775818
2018-05-15,0.7629256604838679
2018-05-16,0.7435157856217453
2018-05-17,0.7534391475260158
2018-05-18,0.7968230313825104
2018-05-21,0.79517654351293
2018-05-22,0.7767064027730318
2018-05-23,0.695600622050767
2018-05-24,0.6817421328145499
2018-05-25,0.6922731573582823
2018-05-28,0.7559642626460172
2018-05-29,0.7129300026509513
2018-05-30,1.3532606955116937
2018-05-31,1.3302349173132524
2018-06-01,0.9608493979190978
2018-06-04,0.9554188841763636
2018-06-05,0.949654809637326
2018-06-06,0.9942260548866096
2018-06-07,1.0223337801018817
2018-06-08,0.9870237418779341
2018-06-11,0.9905684459557418
2018-06-12,1.0284770729137296
2018-06-13,1.0220759023563615
2018-06-14,1.027905152551492
2018-06-15,1.0252618192492062
2018-06-19,0.9494153255538504
2018-06-20,0.955794770259615
2018-06-21,0.9455065585566952
2018-06-22,0.9575423580793657
2018-06-25,0.9246378427531365
2018-06-26,0.8919556332941797
2018-06-27,0.8620649834620424
2018-06-28,0.7890622826341449
2018-06-29,0.7501406380277021
2018-07-02,0.6541507983158084
2018-07-03,0.6743124861290415
2018-07-04,0.6674972378768215
2018-07-05,0.6408353631160885
2018-07-06,0.6470382656386124
2018-07-09,0.662616176463915
2018-07-10,0.6596919741228472
2018-07-11,0.681970599575062
2018-07-12,0.6964716131272715
2018-07-13,0.708491235243823
2018-07-16,0.6946442551218449
2018-07-17,0.7225194624727885
2018-07-18,0.7233014401694685
2018-07-19,0.7284791992977114
2018-07-20,0.7434666011175167
2018-07-23,0.7503743686038592
2018-07-24,0.7061987068194907
2018-07-25,0.7077771952782047
2018-07-26,0.6763464668341751
2018-07-27,0.7204353200595703
2018-07-30,0.7126999250961256
2018-07-31,0.8545309574949718
2018-08-01,0.9324698389854541
2018-08-02,0.9163244052347619
2018-08-03,0.9141380917830385
2018-08-06,0.906917941987573
2018-08-07,0.9338207641152672
2018-08-08,0.9254685605092574
2018-08-09,0.9293504332422379
2018-08-10,0.9364793738329645
2018-08-13,0.916739290319411
2018-08-14,0.8995360705558922
2018-08-15,0.9421277463373326
2018-08-16,0.9434454150888537
2018-08-17,0.9407292356480141
2018-08-20,0.9460953638749376
2018-08-21,0.9513542227552227
2018-08-22,0.9343514631034725
2018-08-23,0.934818018366976
2018-08-24,0.9435982416327674
2018-08-27,0.9528733045298446
2018-08-28,0.9292450673861611
2018-08-29,1.1108224271812324
2018-08-30,1.1525808689516182
2018-08-31,1.1550592045609533
2018-09-03,1.1591305247920398
2018-09-04,1.1720807732825975
2018-09-05,1.137657018567072
2018-09-06,1.128399663962211
2018-09-07,1.1490150499506977
2018-09-10,1.1259980357230195
2018-09-11,1.1052819933701827
2018-09-12,1.0988777138234163
2018-09-13,1.110125190164256
2018-09-14,1.1032170085377073
2018-09-17,1.065341190426985
2018-09-18,1.307878355941474
2018-09-19,1.3170318925254165
2018-09-20,1.3342950488858618
2018-09-21,1.3699681894504916
2018-09-25,1.3687347352003458
2018-09-26,1.3753775087484783
2018-09-27,1.3733296746734387
2018-09-28,1.3882407236290883
2018-10-08,1.3241751471017131
2018-10-09,1.3290303695331656
2018-10-10,1.3564642339530482
2018-10-11,1.2665371190862411
2018-10-12,1.2771719947055789
2018-10-15,1.236667725604043
2018-10-16,1.2119006041653855
2018-10-17,1.2556558589453757
2018-10-18,1.1811219564209174
2018-10-19,1.2374698950880956
2018-10-22,1.3405161778873202
2018-10-23,1.2959743758281257
2018-10-24,1.3013065777304218
2018-10-25,1.3009842462323569
2018-10-26,1.3059221442460893
2018-10-29,1.2825302938690974
2018-10-30,1.3144511508498067
2018-10-31,1.3486786149375924
2018-11-01,1.347794544511673
2018-11-02,1.394747013383423
2018-11-05,1.3868347079501506
